username,gender,profile_pic,private_or_public,posts,followers,following,comment,bio,work,label
Xavier,male,no,public,25,497,4946,cooking gym recipe workout gym fitness diet kitchen gym workout recipe recipe kitchen gym recipe workout kitchen workout gym diet,&Ipsam commodi esse quasi corporis cumque.,gym,real
Brad,male,yes,private,330,8952,2892,workout diet food kitchen kitchen food gym cooking food cooking cooking gym fitness workout,$Id laboriosam distinctio incidunt ea laboriosam.,gym,real
Isaac,male,yes,public,264,1181,1529,fitness kitchen recipe fitness kitchen fitness recipe kitchen gym cooking cooking gym cooking kitchen recipe kitchen workout cooking,!Atque repudiandae nisi a ducimus ullam harum.,gym,real
Chad,male,yes,private,377,879,2380,cooking workout diet fitness workout cooking fitness kitchen gym workout food food kitchen gym gym diet diet,Culpa deserunt nobis tempore possimus distinctio illo.^,gym,real
Edwin,male,yes,public,199,4144,1247,cooking gym recipe gym food gym recipe cooking recipe diet,Quam soluta !nemo facilis.,gym,real
Trevor,male,no,public,484,1759,4909,fitness workout diet food cooking food recipe fitness cooking kitchen kitchen recipe food fitness cooking kitchen gym cooking fitness,^Voluptatibus repellat possimus nesciunt dolorum.,gym,real
Samuel,male,no,public,222,6661,3060,workout fitness workout cooking recipe kitchen food fitness cooking fitness food food food,!Excepturi consectetur temporibus amet.,gym,real
Dwayne,male,yes,private,298,843,246,food diet fitness workout fitness workout workout recipe fitness food diet recipe,Repellendus simil#ique magnam minus.,gym,real
Billy,male,yes,private,289,9469,1457,diet fitness kitchen food recipe recipe recipe workout recipe fitness diet food diet fitness recipe food fitness,Modi et eligendi mollitia qui!busdam nulla perferendis esse.,gym,fake
Hayden,male,yes,public,117,202,145,cooking diet cooking recipe workout workout fitness diet cooking food kitchen food workout recipe workout gym workout kitchen fitness,^Numquam quaerat non consequuntur quo nostrum in.,gym,real
Joe,male,yes,public,444,1652,4794,diet recipe food fitness fitness cooking diet kitchen diet workout kitchen kitchen cooking fitness fitness fitness,Delectus nisi eligendi moll@itia doloremque consequatur.,gym,fake
Juan,male,yes,public,161,2364,3299,food food kitchen recipe gym recipe workout cooking gym cooking diet cooking diet recipe fitness food workout diet fitness recipe,&Maiores qui cupiditate maiores tenetur hic optio.,gym,real
Ray,male,no,public,439,5364,3326,diet workout cooking fitness food kitchen cooking fitness gym food diet workout gym workout,Dolore rerum sequi eligendi.!,gym,fake
Tim,male,yes,private,224,9595,767,gym fitness kitchen food cooking food gym workout fitness workout fitness cooking food,^Est sunt magni iusto beatae accusamus architecto.,gym,fake
Dean,male,no,private,18,2367,4581,kitchen diet fitness gym cooking diet cooking food cooking gym workout gym workout workout cooking gym diet,Repellat id @modi ex quis.,gym,fake
Brandon,male,yes,public,365,3585,1630,cooking recipe diet gym diet cooking cooking cooking recipe diet kitchen kitchen workout kitchen food fitness,Dolorem incidun%t aperiam ipsam.,gym,real
Erik,male,no,public,143,2685,1131,food diet workout cooking food kitchen kitchen kitchen fitness recipe fitness recipe cooking gym gym,Sed blanditiis asperiores v!oluptatum laboriosam neque.,gym,fake
